section,in_resume,title,start,end,loc,institution,description_1,description_2,description_3,Description_4
education,FALSE,Google UX Design Professional Certificate ,2022,Pending,Coursera/Google,,Acquired solid foundation in user focused design principles.,Used Adobe XD to create design prototypes.,Case Study: Wedding Menu Application.,
work_history_2,TRUE,Cocktail Bartender/Mixologist,2022,2023,Pinkerton’s Snack & Cocktail Bar,"Toronto, Ont","Effectively handled multiple tasks in a fast-paced cocktail bar environment, demonstrating versatile capabilities.","Accurately recorded and promptly fulfilled customer orders to a high standard, showcasing precision and consistency. ",Conducted cocktail training sessions and developed comprehensive training material to enhance skill-set and knowledge base of the team.,
service,TRUE,Survey Administrator/Analyst,2020,2022,Barrio Del Chur Artist & Event Collective,"Wellington, NZ","Managed end-to-end execution of exit surveys for multiple 1000+ person immersive events using R, Google Sheets, and Google Forms, extracting actionable insights for enhancing future events.","Created interactive dashboards for event promoters and managers, enabling real-time tracking of ticket sales and survey insights",,
work_history,TRUE,Lodgement Administrator ,2021,2022,"Accident Compensation Commission, NZ","Dunedin, NZ","Applied health and privacy legislation to safeguard client information, showcasing a strong commitment to compliance, confidentiality, and data protection.","Maintained high accuracy in entering medical records and claims into the ACC database, ensuring data integrity and minimizing errors. ","Contributed to process improvement initiatives, implementing enhancements that increased efficiency and reduced the likelihood of errors in data entry and processing.","Employed analytical skills to proactively identify and resolve system irregularities and errors, enhancing data accuracy and integrity."
education,FALSE,Data Analytics Professional Certificate ,,2022,Google Careers Certification,,,,,
work_history,TRUE,Data Entry Specialist – Contract,2022,2022,Lions Foundation of Canada Dog Guides,"Oakville, Ont","Efficiently processed a 4-month backlog of financial and client data in Salesforce, demonstrating strong data entry skills while meeting strict deadlines.","Implemented new data entry systems, enhancing efficiency and accuracy; established data validation procedures to ensure data integrity.","Created comprehensive training materials and documentation for seamless adoption of new data entry and validation systems by team members, ensuring project continuity.",
work_history,TRUE,Data Analyst – Contract,2019,2021,Fungus Federation Ltd.,"Auckland, NZ","Coordinated research participant activities by scheduling screening appointments, surveys, and debriefing sessions, demonstrating strong organizational and time-management skills.","Utilized  analytical skills to conduct various analyses on production data, providing valuable insights that contributed to informed decision-making for process improvement.",Developed clear and concise visualizations and dashboards to effectively communicate complex data driven insights.,
work_history_2,TRUE,Operations Manager,,2021,Twisted Frequencies – NYE Festival,"East Takaka, NZ","Managed a 3000-person, 4-day outdoor music festival, leading a team of 100+ performing artists, employees, and volunteers.","Coordinated with medical and security teams to address security and medical incidents promptly, prioritizing attendee safety.","Oversaw waste and sanitation logistics, ensuring efficient and timely solutions for environmental needs.",
service,TRUE,Data Science Intern ,2019,2020,Greenback Ltd. ,"Auckland, NZ","Managed the collection, validation, and analysis of user data for a virtual garden hub/seed trading program, while also researching and modeling carbon sequestration measuring individual and overall project impact.",Collaborated with the software team creating apps & mobile games that support climate action.,,
education,FALSE,Double Bachelor of Arts in Psychology & Philosophy,2015,2019,Victoria University of Wellington (VUW),,,,,
work_history,TRUE,Research Assistant ,2018,2019,Centre for Cross-Cultural Psychology: Mind & Culture Lab,"Wellington, NZ","Administered online surveys using Qualtrics, coordinated research participants scheduling screenings, surveys, and debriefing sessions.","Drafted numerous literary reviews on relevant subject matter, contributing to the research and knowledge base of the lab.","Served as the social media coordinator for the Center for Cross Cultural Research, actively managing and enhancing the lab's online presence and engagement.",
work_history_2,TRUE,Teacher Assistant – PSYC 317: Evolutionary Psychology ,2018,2019,Victoria University of Wellington School of Psychology ,"Wellington, NZ","Instructed two classes of 30 undergrad psychology students, presenting course material, distributing assignments, and grading assessments for a 300 level Evolutionary Psychology course..","Contributed insights to teacher meetings, offering feedback on course improvement strategies.",,
work_history_2,FALSE,Social Media Coordinator,2018,2019,Center for Applied Cross-Cultural Research,"VUW, NZ",Managed Multiple Social Media Accounts.,Daily Content Creation for lay and academic audiences.,Coordinated online presence of NZ Multi Cultural Federation annual summit.,
service,TRUE,Mentor,2017,2018,Te Pūtahi Atawhai – Māori & Pasifika Student Support,"Wellington, NZ","Received comprehensive cultural sensitivity training to effectively mentor and tutor 1st-year Māori and Pasifika psychology and statistics students, demonstrating cultural awareness and sensitivity",,,
work_history_2,FALSE,Research Assistant ,2017,2018,Stress & Ritual Pilot Study,"VUW, NZ","Recruited, on-boarded, and debriefed research participants.",Assisted with experiment design.,Conducted behavioral & biometric data collection throughout the study.,
work_history_2,TRUE,Managing Director,2011,2015,Bar Squire Beverage Consultancy Services ,"Wellington, NZ","Executed the overall management and operation of Bar Squire, overseeing business processes, client interactions, and the successful delivery of high-quality beverage services.","Established a comprehensive database encompassing cocktail recipes, alcohol products, and suppliers, facilitating the implementation of stock control and ordering systems for venues.",,
